name,version,homepage,summary,license
aasm,5.2.0,https://github.com/aasm/aasm,State machine mixin for Ruby objects,MIT
actioncable,5.2.6.3,http://rubyonrails.org,WebSocket framework for Rails.,MIT
actionmailer,5.2.6.3,http://rubyonrails.org,"Email composition, delivery, and receiving framework (part of Rails).",MIT
actionpack,5.2.6.3,http://rubyonrails.org,Web-flow and rendering framework putting the VC in MVC (part of Rails).,MIT
actionview,5.2.6.3,http://rubyonrails.org,Rendering framework putting the V in MVC (part of Rails).,MIT
activejob,5.2.6.3,http://rubyonrails.org,Job framework with pluggable queues.,MIT
activemodel,5.2.6.3,http://rubyonrails.org,A toolkit for building modeling frameworks (part of Rails).,MIT
activerecord,5.2.6.3,http://rubyonrails.org,Object-relational mapper framework (part of Rails).,MIT
activerecord-import,1.1.0,https://github.com/zdennis/activerecord-import,Bulk insert extension for ActiveRecord,MIT
activestorage,5.2.6.3,http://rubyonrails.org,Local and cloud file storage framework.,MIT
activesupport,5.2.6.3,http://rubyonrails.org,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,MIT
airbrake,11.0.1,https://airbrake.io,Airbrake is an online tool that provides robust exception tracking in any of your Ruby applications.,MIT
airbrake-ruby,5.2.1,https://airbrake.io,Ruby notifier for https://airbrake.io,MIT
apollo-tracing,1.5.0,https://github.com/uniiverse/apollo-tracing-ruby,Ruby implementation of GraphQL trace data in the Apollo Tracing format.,MIT
arel,9.0.0,https://github.com/rails/arel,Arel Really Exasperates Logicians  Arel is a SQL AST manager for Ruby,MIT
ast,2.4.2,https://whitequark.github.io/ast/,A library for working with Abstract Syntax Trees.,MIT
attr_encrypted,3.1.0,http://github.com/attr-encrypted/attr_encrypted,Encrypt and decrypt attributes,MIT
authtrail,0.4.2,https://github.com/ankane/authtrail,Track Devise login activity,MIT
autoprefixer-rails,10.4.2.0,https://github.com/ai/autoprefixer-rails,Parse CSS and add vendor prefixes to CSS rules using values from the Can I Use website.,MIT
awesome_print,1.9.2,https://github.com/awesome-print/awesome_print,Pretty print Ruby objects with proper indentation and colors,MIT
bcrypt,3.1.17,https://github.com/bcrypt-ruby/bcrypt-ruby,OpenBSD's bcrypt() password hashing algorithm.,MIT
bitly,2.0.1,https://github.com/philnash/bitly,Use the Bitly API to shorten or expand URLs,MIT
bootsnap,1.11.1,https://github.com/Shopify/bootsnap,Boot large ruby/rails apps faster,MIT
bootstrap-sass,3.4.1,https://github.com/twbs/bootstrap-sass,"bootstrap-sass is a Sass-powered version of Bootstrap 3, ready to drop right into your Sass powered applications.",MIT
buftok,0.2.0,https://github.com/sferik/buftok,BufferedTokenizer extracts token delimited entities from a sequence of arbitrary inputs,MIT
builder,3.2.4,http://onestepback.org,Builders for MarkUp.,MIT
bumbler,0.8.0,https://github.com/nevir/Bumbler,Find slowly loading gems for your Bundler-based projects,MIT
bundler,1.17.2,http://bundler.io,The best way to manage your application's dependencies,MIT
cancancan,1.17.0,https://github.com/CanCanCommunity/cancancan,Simple authorization solution for Rails.,MIT
carrierwave,1.3.2,https://github.com/carrierwaveuploader/carrierwave,Ruby file upload library,MIT
carrierwave-video-thumbnailer,0.1.4,https://github.com/evrone/carrierwave-video-thumbnailer#readme,Video thumbnailer plugin for CarrierWave,MIT
carrierwave_backgrounder,0.4.2,https://github.com/lardawge/carrierwave_backgrounder,"Offload CarrierWave's image processing and storage to a background process using Delayed Job, Resque, Sidekiq, Qu, Queue Classic or Girl Friday",MIT
chartkick,4.1.3,https://chartkick.com,Create beautiful JavaScript charts with one line of Ruby,MIT
chronic_duration,0.10.6,https://github.com/hpoydar/chronic_duration,A simple Ruby natural language parser for elapsed time,MIT
chunky_png,1.4.0,https://github.com/wvanbergen/chunky_png/wiki,"Pure ruby library for read/write, chunk-level access to PNG files",MIT
codeclimate-test-reporter,1.0.7,https://github.com/codeclimate/ruby-test-reporter,Uploads Ruby test coverage data to Code Climate.,MIT
coffee-rails,4.2.2,https://github.com/rails/coffee-rails,CoffeeScript adapter for the Rails asset pipeline.,MIT
coffee-script,2.4.1,http://github.com/josh/ruby-coffee-script,Ruby CoffeeScript Compiler,MIT
coffee-script-source,1.12.2,http://coffeescript.org,The CoffeeScript Compiler,MIT
concurrent-ruby,1.1.10,http://www.concurrent-ruby.com,"Modern concurrency tools for Ruby. Inspired by Erlang, Clojure, Scala, Haskell, F#, C#, Java, and classic concurrency patterns.",MIT
connection_pool,2.2.5,https://github.com/mperham/connection_pool,Generic connection pool for Ruby,MIT
crack,0.4.5,https://github.com/jnunemaker/crack,"Really simple JSON and XML parsing, ripped from Merb and Rails.",MIT
crass,1.0.6,https://github.com/rgrove/crass/,CSS parser based on the CSS Syntax Level 3 spec.,MIT
daemons,1.4.1,https://github.com/thuehlinger/daemons,A toolkit to create and control daemons in different ways,MIT
debugger-ruby_core_source,1.3.8,http://github.com/cldwalker/debugger-ruby_core_source,Provide Ruby core source files,MIT
declarative,0.0.20,https://github.com/apotonick/declarative,DSL for nested schemas.,MIT
deep_cloneable,2.3.2,http://github.com/moiristo/deep_cloneable,This gem gives every ActiveRecord::Base object the possibility to do a deep clone.,MIT
devise,4.8.0,https://github.com/heartcombo/devise,Flexible authentication solution for Rails with Warden,MIT
devise-i18n,1.10.0,http://github.com/tigrish/devise-i18n,Translations for the devise gem,MIT
devise-two-factor,4.0.0,https://github.com/tinfoil/devise-two-factor,Barebones two-factor authentication with Devise,MIT
devise_invitable,2.0.5,https://github.com/scambra/devise_invitable,An invitation strategy for Devise,MIT
did_you_mean,1.3.0,https://github.com/yuki24/did_you_mean,"""Did you mean?"" experience in Ruby",MIT
diff-lcs,1.5.0,https://github.com/halostatue/diff-lcs,Diff::LCS computes the difference between two Enumerable sequences using the McIlroy-Hunt longest common subsequence (LCS) algorithm,MIT
docile,1.4.0,https://ms-ati.github.io/docile/,Docile keeps your Ruby DSLs tame and well-behaved.,MIT
encryptor,3.0.0,http://github.com/attr-encrypted/encryptor,A simple wrapper for the standard ruby OpenSSL library,MIT
equalizer,0.0.11,https://github.com/dkubb/equalizer,"Module to define equality, equivalence and inspection methods",MIT
erubi,1.10.0,https://github.com/jeremyevans/erubi,Small ERB Implementation,MIT
et-orbi,1.2.7,https://github.com/floraison/et-orbi,time with zones,MIT
ethon,0.12.0,https://github.com/typhoeus/ethon,Libcurl wrapper.,MIT
excon,0.92.1,https://github.com/excon/excon,"speed, persistence, http(s)",MIT
execjs,2.8.1,https://github.com/rails/execjs,Run JavaScript code from Ruby,MIT
expgen,0.1.1,"",Generate random regular expression,MIT
faraday,1.10.0,https://lostisland.github.io/faraday,HTTP/REST API client library.,MIT
faraday-em_http,1.0.0,https://github.com/lostisland/faraday-em_http,Faraday adapter for Em::Http,MIT
faraday-em_synchrony,1.0.0,https://github.com/lostisland/faraday-em_synchrony,Faraday adapter for EM::Synchrony,MIT
faraday-excon,1.1.0,https://github.com/lostisland/faraday-excon,Faraday adapter for Excon,MIT
faraday-httpclient,1.0.1,https://github.com/lostisland/faraday-httpclient,Faraday adapter for HTTPClient,MIT
faraday-multipart,1.0.3,https://github.com/lostisland/faraday-multipart,Perform multipart-post requests using Faraday.,MIT
faraday-net_http,1.0.1,https://github.com/lostisland/faraday-net_http,Faraday adapter for Net::HTTP,MIT
faraday-net_http_persistent,1.2.0,https://github.com/lostisland/faraday-net_http_persistent,Faraday adapter for NetHttpPersistent,MIT
faraday-patron,1.0.0,https://github.com/lostisland/faraday-patron,Faraday adapter for Patron,MIT
faraday-rack,1.0.0,https://github.com/lostisland/faraday-rack,Faraday adapter for Rack,MIT
faraday-retry,1.0.3,https://github.com/lostisland/faraday-retry,Catches exceptions and retries each request a limited number of times,MIT
file_validators,3.0.0,https://github.com/musaffa/file_validators,ActiveModel file validators,MIT
filelock,1.1.1,http://github.com/sheerun/filelock,Heavily tested yet simple filelocking solution using flock,MIT
filesize,0.2.0,https://github.com/dominikh/filesize,"filesize is a small class for handling filesizes with both the SI and binary prefixes, allowing conversion from any size to any other size.",MIT
find_a_port,1.0.1,http://github.com/jwilger/find_a_port,Find an open TCP port,MIT
fog-aws,3.13.0,https://github.com/fog/fog-aws,Module for the 'fog' gem to support Amazon Web Services.,MIT
fog-core,2.3.0,https://github.com/fog/fog-core,Shared classes and tests for fog providers and services.,MIT
fog-json,1.2.0,http://github.com/fog/fog-json,JSON parsing for fog providers,MIT
